"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2026-01-18","","14564.1396484375","","",""," *18/01/2026 Peter Oehlinger: Took it very easy today. Felt the left shin during the strides. I’ll take care and decide tomorrow whether or not the run makes sense. A real problem is the weather. It’s no longer possible to run downhill on the trails. They are just pure ice now. It probably won’t get any better over the next 1-2 weeks.*","1.60645890235901","2.51799988746643","","166","","114","148","","","0.591168131926975","62.94","25","0","0","0","","","","","","","","","","","","","","","","","2","5"
"Optional Pain-free Aerobic","Bike","","","","2026-01-18","","25460.009765625","160","163","415.114","","0.750363349914551","9.42500019073486","","80","","114","122","","","0.672970046758328","33.66","2","43","0","0","0","","","","","","2","43","0","0","0","","","","","","2","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-19","","18639.9296875","","",""," *19/01/2026 Peter Oehlinger: This run felt really good today. Only the shins still cause some problems. Running on the road doesn’t help. Trails won’t be runable for the next weeks (pure ice).* *19/01/2026 Anna DeMonte: Thats ok! Lets focus on shin-safe aerobic between now and your treadmill workout. Hopefully the treadmill will be a little bit more forgiving on your shins. What level /10 are you feeling shin pain? is it 1-2/10 or higher?* *20/01/2026 Peter Oehlinger: It’s more right now. I’ll do stairmaster today.*","1.50033366680145","3.45099997520447","","178","","133","150","","","0.600902308931949","60.6","76","2","0","0","","","","","","","","","","","","","","","","","4","3"
"Optional Pain-free Aerobic","Bike","","","","2026-01-19","","36108.3515625","160","211","554.086","","1.00021362304688","10.0279998779297","","86","","110","121","","","0.673751723840162","45.05","17","43","0","0","0","","","","","","3","57","0","0","0","","","","","","2","5"
"Optional Pain-free Aerobic","Walk","","","","2026-01-20","","4352.919921875","","",""," *20/01/2026 Peter Oehlinger: Stairmaster @80spm*","1.00076055526733","1.20799994468689","","107","","114","124","","","0.598551382128495","39.72","","","","","","","","","","","","","","","","","","","","","1","5"
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-20","","5925.64013671875","","",""," *20/01/2026 Peter Oehlinger: Stairmaster @90spm* *20/01/2026 Peter Oehlinger: Quite severe shin pain today. It was feeling better after the second stairmaster session. To make sure we get a quality session on Thursday, I’ll probably replace the runs tomorrow with stairmaster and/or cycling. Please don’t adjust the plan. I’ll decide from day to day keeping our priorities in mind.*","1.50079751014709","1.09700000286102","","90","","131","142","","","0.597845417707405","60.05","82","0","0","0","","","","","","","","","","","","","","","","","4","5"
"Strength","Strength","","","","2026-01-20","","0","","",""," *20/01/2026 Peter Oehlinger: Talked to Jimmy today. Ankle inward rotation and hip rotation (airplanes). Additionally he recommended heavy calf raises. I’ll get a note from him and forward the exercises. Every second day should be ok.* *21/01/2026 Anna DeMonte: Got it, I talked to him as well, ill send you a Whatsapp here shortly.*","0.308770537376404","0","","","","72","94","","","0.528147440119946","9.26","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Walk","-Incline treadmill walking -Stairmaster -Cycling Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1","","2026-01-21","","5185.7900390625","","",""," *21/01/2026 Peter Oehlinger: Stairmaster @85spm Fueling 87.5g total*","1.39279389381409","1.03400003910065","","85","","120","133","","","0.598152297472001","55.66","9","0","0","0","","","","","","","","","","","","","","","","","2","3"
"Pain Free Aerobic Additional","Bike","","1.56666666666667","","2026-01-21","","32008.349609375","162","211","566.309"," *21/01/2026 Peter Oehlinger: No running/strides today. Shin pain still there but ready for tomorrow.* *21/01/2026 Anna DeMonte: On a scale of 1-10, how much shin pain are we feeling today?* *21/01/2026 Peter Oehlinger: 2-3. In the morning it was worse now it’s better. I’ll try the workout tomorrow.* *22/01/2026 Peter Oehlinger: Fueling 90g/h*","1.00046670436859","8.88700008392334","","76","","109","120","","","0.691980529610079","47.48","27","32","0","0","0","","","","","","3","57","0","0","0","","","","","","2","5"
"Strength","Strength","","","","2026-01-21","","0","","","","","0.222066938877106","0","","","","72","88","","","0.530346895794919","6.66","","","","","","","","","","","","","","","","","","","","","",""
"Peter: 15% Short Interval Workout 1","Run","15% incline Very important you keep track of your paces and let me know in the comments. Ideally, always use the same machine for these speed sessions, treadmills are often out of calibration but using the same machine will at least keep the workout consistent. Warmup: 15 minutes Z1-Z2 4x20 second hard pushes with a 40 second rest in between 2 minutes at goal pace for the workout 2 minutes easy Working: 6x6 minutes. A good guide for the level of intensity here is possible on shitty day, comfortable-hard on a day when you are feeling strong. You should finish this workout and feel like you could do one or two more reps at the pace of your final rep. This is just a workout, just a stimulus like any other session. You should not look at these workouts as an assessment of your fitness. 1 minute rest. Your call how you use this time, but make it easy. 30 minutes cool down","1.58333333333333","","2026-01-22","","11680","","",""," *22/01/2026 Peter Oehlinger: Workout felt good. It was hard but I could probably go a bit faster but it was a good start. Shin pain in the beginning but it was improving over time (this is a really good thing cause it’s less likely to be a stress fracture). For the next days I will stick to the treadmill with around 10% incline. Warm Up: 9min @6% - 10.5kmh 6min @15 - 7.5kmh 4x40sec @15% - 10kmh 2min @15% - 8kmh 1min full rest 1min @15% - 7kmh Main set: 3x6min @15% - 8.0kmh - 7:30min/km 3x6min @15% - 8.2kmh - 7:19min/km Cool Down: 10min @10% - 7kmh 20min @10% - 7.5kmh Fueling: 90g during + 90g after* *22/01/2026 Anna DeMonte: Historical Data (15% SI Intervals) 22 JAN 26 6x6min 8.0kmh / 5.0mph 8.0kmh / 5.0mph 8.0kmh / 5.0mph 8.2kmh / 5.1mph 8.2kmh / 5.1mph 8.2kmh / 5.1mph*","1.58447551727295","2.04764567774987","","162","","140","163","","","0.660379849697272","77.45","45","38","1","0","","","","","","","","","","","","","","","","","6","5"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","12000","2026-01-23","","7500","","",""," *23/01/2026 Peter Oehlinger: Kept it a bit easier than planned today. Was feeling a bit sick yesterday. Shin/calf pain was there and it took time until it eased. However, it wasn’t sharp shin pain anymore but rather spread to the calf. It was broader but less painful. Fueling: 40g*","1.00002753734589","2.0832759654425","","176","","117","127","","","0.599550170394792","39.83","1","0","0","0","","","","","","","","","","","","","","","","","2","7"
"Optional Pain-free Aerobic","Walk","","1","","2026-01-23","","6443.490234375","","",""," *23/01/2026 Peter Oehlinger: Stairmaster @80spm Fueling 54g/h* *24/01/2026 Anna DeMonte: Great job doing this as stairmaster Peter*","1.50028610229492","1.192999958992","","98","","111","123","","","0.597123912547402","59.85","","","","","","","","","","","","","","","","","","","","","2","5"
"Strength","Strength","","","","2026-01-23","","0","","","","","0.220859721302986","0","","","","81","95","","","0.530313800320007","6.62","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Lindkgel Prep - Knee safe","Run","I want this run to start to mimic your race as much as possible. Pick trails/a route that has similar vert to the race (see note above).","3.25","","2026-01-24","","29080","","",""," *24/01/2026 Peter Oehlinger: Fueling: 101g/h 60min - 8.0kmh - @10% 60min - 6.7kmh - @15% 60min - 6.5kmh - @12% 60min - 7.7kmh - @10% The last hour was hard Shin pain during the first hour then it faded. Massaged the shins afterwards and interestingly the pain point moved upwards.*","4.0003867149353","2.019249225986","","177","","143","156","","","0.632995397608573","183.83","124","100","0","0","","","","","","","","","","","","","","","","","6","5"
"Pain-free Aerobic","Walk","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-25","","5575.31982421875","","",""," *25/01/2026 Peter Oehlinger: Stairmaster @85spm (on average) Quite some lower leg pain in the morning but there is no pain point at the shin anymore. For me this means tissue issue which is something I can work with.* *25/01/2026 Peter Oehlinger: The pain eased after a massage and some stretching and was completely gone after some time on the stairmaster.*","1.50009942054749","1.03199994564056","","85","","112","126","","","0.596674790800211","59.76","1","0","0","0","","","","","","","","","","","","","","","","","3","7"
"Optional Pain-free Aerobic","Bike","","0.75","","2026-01-25","","23527.529296875","160","187","418.183"," *25/01/2026 Peter Oehlinger: Took this one very easy. It was more recovery than aerobic I would say. In the future I need to go up to at least 170W when cycling and 85spm on the stairmaster.*","0.752717196941376","8.68200016021729","","74","","107","115","","","0.674023449663775","33.83","33","12","0","0","0","","","","","","2","43","0","0","0","","","","","","1","5"
"Strength","Strength","","","","2026-01-25","","0","","","","","0.546601414680481","0","","","","68","88","","","0.524362351055555","16.41","","","","","","","","","","","","","","","","","","","","","",""
"10% Long Interval Workout 1","Run","Since your outdoor trails are icy, we'll want to do this inside at 10% grade Warmup: 15 minutes Z1-Z2 4x20 second hard pushes with a 40 second rest in between 2 minutes at goal pace for the workout 2 minutes easy Working: 3x10 minutes. A good guide for the level of intensity here is possible on shitty day, comfortable-hard on a day when you are feeling strong. You should finish this workout and feel like you could do one or two more reps at the pace of your final rep. This is just a workout, just a stimulus like any other session. You should not look at these workouts as an assessment of your fitness. 2 minute rest. Your call how you use this time, but make it easy. 30 minutes cool down","1.48333333333333","","2026-01-26","","11408","","",""," *26/01/2026 Peter Oehlinger: Warm Up 5min 8.5kmh @6% 10min 8kmh @10% 4x20s 12kmh @10% 40s Full Rest 2min - 10kmh - @10% 2min - 4.5kmh - 10% (walking rest) Main Set: 10min - 10kmh - @10% 2min - 4.5kmh - (walking rest) 10min - 10.2kmh - @10% 2min - 4.5kmh - 10% (walking rest) 10min - 10.5kmh - @10% 2min - 4.5kmh - 10% (walking rest) Cool Down 30min - 7kmh - @10% Fueling 45g + 1l Shin pain in the morning. Interestingly it feels like it's shin pain when walking but I cannot find a pain point anymore. I felt the left calf quite a bit more during this workout. I will reduce the running volume again over the next two days (no running tomorrow and maybe an easy run on Wednesday). Let's see if this is enough to get back on track.* *26/01/2026 Peter Oehlinger: Fueling 45g + 1l* *27/01/2026 Anna DeMonte: Historical Data (10% SI Intervals) 26 JAN 26 – 3×10 min 10.0 km/h → 6.21 mph 10.2 km/h → 6.34 mph 10.5 km/h → 6.52 mph*","1.48385691642761","2.13557577809995","","165","","138","167","","","0.651457082867871","70.46","52","21","9","0","","","","","","","","","","","","","","","","","7","5"
"Other","Other","","","","2026-01-26","","0","","","","","0.146056115627289","0","","44","","63","78","","","0.533071576791118","0","","","","","","","","","","","","","","","","","","","","","1","5"
"Stair Climbing","Walk","","0.75","","2026-01-26","","834","","",""," *26/01/2026 Peter Oehlinger: Stairmaster @90spm Fueling 90g (also as post interval fueling)* *27/01/2026 Anna DeMonte: How are the shins after this + LI #1? I saw your comment about them for the workout.. really want to watch this*","0.75001859664917","0.308881230014396","","43","","129","139","","","0.603085528576545","30.01","40","0","0","0","","","","","","","","","","","","","","","","","3","5"
"Strength","Strength","","","","2026-01-26","","0","","","","","0.576509475708008","0","","","","77","94","","","0.523966909933326","0","","","","","","","","","","","","","","","","","","","","","2","5"
"Other","Other","","","","2026-01-26","","156.169998168945","","",""," *26/01/2026 Peter Oehlinger: Foam roll and stretching.*","0.406843334436417","0.10700000077486","","","","59","72","","","0.526281682608155","0","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Optional Pain-free Aerobic","Bike","","0.75","","2026-01-27","","64920.23046875","170","182","1038.583"," *27/01/2026 Peter Oehlinger: Cycling is the only thing that doesn’t hurt. It’s strange cause there is no pain point at the shin anymore but it still feels like shin pain when walking. Fueling: 170g/h + 2l* *27/01/2026 Peter Oehlinger: Let me be a bit more precise about how it feels. My left calfs hurt when I massage or foam roll it but when I walk it still feels like I have shin splints but apparently the pain point at the shin is gone. I thought it's improving from here but it didn't.* *28/01/2026 Anna DeMonte: OK, I'm also talking with Jimmy. If walking still feels like you have shin pain, we should dial back running again. Just for management so we don't risk further injury. Second workout (short interval) we'll move to be a stairmaster interval this week. I'll make some updates now.*","1.76338446140289","10.2270002365112","","87","","117","127","","","0.658395829010903","76.15","1","105","0","0","0","","","","","","5","100","2","0","0","","","","","","4","7"
"Stair Climbing","Walk","","","","2026-01-27","","593","","",""," *27/01/2026 Peter Oehlinger: Also experience pain on the stairmaster. For more detailed comments on the shin pain see cycling workout. @90spm*","0.538935542106628","0.305643642611405","","38","","120","132","","","0.605438174545131","21.55","9","0","0","0","","","","","","","","","","","","","","","","","3","7"
"Run (w/ Strides)","Run","Returning to run with strides in preparation for coming blocks We're going to be doing strides a couple times per week. To be done immediately after the run. These are not sprints. Overall Scheme 6 reps 20 seconds 1-2 minutes easy recovery in between https://www.youtube.com/watch?v=SuSA9t0wM1Y Important Points Ease into these. Spend the first five seconds slowly come up onto pace. Run tall through the hips, with a slight forward lean Use long-distance form, with normal arm carriage and a relaxed upper body. No excessive arm drive like you would have running a 100m race. Stride should be like you are running a mile-5K. Instead of increasing cadence as high as you can go, emphasize knee drive and output-per-stride at a smooth effort. Let me know if you have any questions","1.56666666666667","","2026-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Run","-Incline treadmill walking -Stairmaster -Cycling Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1","","2026-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-28","","72561.890625","170","202","1173.621"," *28/01/2026 Peter Oehlinger: Fueling: 90g/h No shin pain.*","2.0004677772522","10.076000213623","","86","","121","136","","","0.656713720608002","85.83","3","113","3","0","0","","","","","","6","114","0","0","0","0","","","","","4","5"
"Strength","Strength","","","","2026-01-28","","0","","","","","0.78460305929184","0","","","","76","109","","","0.524908079741623","0","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-28","","35278.26171875","170","213","574.493"," *28/01/2026 Peter Oehlinger: 80g/h No shin pain when keeping cadence high.*","1.00021922588348","9.79699993133545","","83","","114","123","","","0.646351167456496","41.56","1","58","0","0","0","","","","","","5","55","0","0","0","0","","","","","3","5"
"Optional Pain-free Aerobic","Bike","","1","","2026-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Long Run - Lindkgel Prep - Knee safe","Run","I want this run to start to mimic your race as much as possible. Pick trails/a route that has similar vert to the race (see note above).","3.5","","2026-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-31","","0","","","","","0.985450327396393","0","","","","79","113","","","0.531211381971969","30.79","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-02-01","","28305.169921875","130","151","334.524"," *01/02/2026 Peter Oehlinger: Took it very easy (130W instead of 160-180W) and short to see how the shin responds. No pain or whatsoever during cycling. Only the knees felt a bit awkward but this could be because of three days off. Right now the shin feels good (not any worse than before). Let's see how it feels over the next couple of hours. I might do another short bike ride in the afternoon depending on how the shin feels.*","0.750211656093597","10.4799995422363","","90","","115","127","","","0.499800163885863","18.55","7","38","0","0","0","","","","","","45","0","0","0","0","0","","","","","1","5"
"Optional Pain-free Aerobic","Other","Stairmaster or cycling only","0.75","","2026-02-01","","28391.150390625","129","131","334.473"," *01/02/2026 Peter Oehlinger: 3 hour break between this ride and the other one. No (added) shin pain in between. No shin pain during cycling. Again very easy. Did not feel the knees during this one. The next ride/training will be only after the MRI.* *01/02/2026 Anna DeMonte: Awesome, now what level /10 is the shin? When you say no (added) what is the baseline level today?* *01/02/2026 Peter Oehlinger: Only occasionally it’s still painful during walking (1-2/10) but I would still not dare to hop.*","0.750122487545013","10.5139999389648","","90","","122","135","","","0.49924937384283","18.52","2","43","0","0","0","","","","","","45","0","0","0","0","0","","","","","1","5"
"Pain-Free Aerobic","Bike","","","","2026-02-02","","55575.80859375","149","166","778.798"," *02/02/2026 Peter Oehlinger: Today shin pain was better. Almost no pain at all throughout the day and also not on the bike. However, my calfs act up again and I don’t know why. Maybe I should try stairmaster tomorrow or just rowing.*","1.50194418430328","10.2779998779297","","88","","123","141","","","0.58010067502095","50.25","1","84","4","0","0","","","","","","5","85","0","0","0","0","","","","","1","7"
"Pain-free Aerobic","Run","Use 156bpm as an absolute ceiling. Do not use it as a target, just don't go above it. ONLY do modalities that do not bother knees or hips","1.5","","2026-02-03","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Elliptical","Other","","","","2026-02-03","","0","","",""," *03/02/2026 Peter Oehlinger: ~200W (Level 16) ~100spm*","0.59606945514679","0","","51","","131","142","","","","23.72","32","0","0","0","","","","","","","","","","","","","","","","","3","9"
"Indoor Rowing","Rowing","","","","2026-02-03","","0","","","","","0.167815282940865","0","","28","","115","126","","","0.614104271092173","6.7","0","0","0","0","","","","","","","","","","","","","","","","","",""
"Stair Climbing","Other","","","","2026-02-03","","0","","",""," *03/02/2026 Peter Oehlinger: No shin pain but calfs. It feels like a muscular problem.*","0.0991647243499756","0","","62","","126","132","","","0.618512574831566","3.97","4","0","0","0","","","","","","","","","","","","","","","","","","9"
"Pain-free Aerobic","Other","30-45 min max - low impact aerobic for 7 days.","0.5","","2026-02-04","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","0","","","","","0.132077217102051","0","","40","","67","102","","","0.536875921112856","4","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-02-04","","0","","","","","0.790402233600616","0","","","","79","120","","","0.531220906373305","24.56","","","","","","","","","","","","","","","","","","","","","",""
"Pain-free Aerobic","Bike","30-45 min max - low impact aerobic for 7 days.","0.5","","2026-02-05","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","17892.8203125","100","103","171.778","","0.500310242176056","9.93400001525879","","85","","99","116","","","0.384229210913252","7.26","29","1","0","0","0","","","","","","30","0","0","0","0","0","","","","","","5"
"Pain-free Aerobic","Bike","30-45 min max - low impact aerobic for 7 days.","0.5","","2026-02-06","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","17676.98046875","100","101","170.941"," *06/02/2026 Peter Oehlinger: Fueling 75g I know I don’t need to fuel but I’m so used to. Shin: Feel them a little bit (1/10). Interestingly more the right then the left. Calves: Don’t feel them at all.*","0.500388920307159","9.8129997253418","","84","","106","122","","","0.383329841597751","7.25","14","15","0","0","0","","","","","","30","0","0","0","0","0","","","","","","5"
"Pain-free Aerobic","Bike","30-45 min max - low impact aerobic for 7 days.","0.5","","2026-02-07","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","18079.83984375","100","119","173.651","","0.500301659107208","10.0380001068115","","86","","108","124","","","0.387148271252469","7.39","14","16","0","0","0","","","","","","30","0","0","0","0","0","","","","","",""
"Pain-free Aerobic","Bike","30-45 min max - low impact aerobic for 7 days.","0.5","","2026-02-08","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","26799.23046875","129","131","333.626","","0.750299394130707","9.92199993133545","","85","","111","125","","","0.498107243160687","18.47","15","30","0","0","0","","","","","","45","0","0","0","0","0","","","","","","5"
"45-60min Pain-free Aerobic","Bike","45-60 min max - low impact aerobic for 7 days.","0.75","","2026-02-09","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","37442.640625","130","131","449.522"," *09/02/2026 Peter Oehlinger: Again super easy. Same power as yesterday but a bit longer. No pain during the workout. Felt it a little afterwards. Not painful really, it just lets me know that it’s still there.* *10/02/2026 Anna DeMonte: Thanks for adding this feedback, we're definitely going in the right direction here!*","1.0003080368042","10.3979997634888","","89","","113","123","","","0.502200259157601","25.11","6","54","0","0","0","","","","","","60","0","0","0","0","0","","","","","1","5"
"45-60min Pain-free Aerobic","Bike","45-60 min max - low impact aerobic for 7 days.","0.75","","2026-02-10","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","39490.21875","150","152","528.761"," *10/02/2026 Peter Oehlinger: Easy. Increased power to 150W. No pain during. No pain immediately after.*","1.01907753944397","10.7639999389648","","92","","117","127","","","0.58055019458619","34.04","1","60","0","0","0","","","","","","3","58","0","0","0","0","","","","","1","5"
"Stairmaster","Walk","Stairmaster morning session. Only if it is pain-free from the get go. 10min @60spm 10min @70spm 10min @80spm (usually this is low Zone 1) This is not training but testing. No training for the next eight hours afterwards to see how your body responds.","0.5","","2026-02-11","","0","","",""," *11/02/2026 Peter Oehlinger: --- Execution - Compliance: As planned - Reason for deviation (if modified/aborted): - Details: --- Muscular - Strain During (0-10): 0 - Tightness Pre (0-10): 1 - Tightness During (0-10): 5 - Tightness Post (0-10): 3 - Area: Calf - Side: Left --- Tissues (bones, tendons, ligaments) - Pain Pre (0-10): 0 - Pain During (0-10): 0 - Pain Post (0-10): 0 - Area: - Side: --- Mechanics - Stride changes: None - Downhill tolerance: Not tested --- Health - Overall readiness (0-10): 7 - Sleep quality last night (0-10): 3 - Accumulated fatigue (0-10): 0 --- Psychology - Motivation before: High - Discipline (rules): Followed - Urge to push beyond plan: Yes*","0.500380277633667","0","","56","","113","134","","","0.601065110545171","19.68","6","0","0","0","","","","","","","","","","","","","","","","","1","5"
"45-60min Pain-free Aerobic","Bike","45-60 min max - low impact aerobic for 7 days.","1","","2026-02-11","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","39769.30078125","150","152","513.68"," *11/02/2026 Peter Oehlinger: --- Execution - Compliance: As planned - Reason for deviation (if modified/aborted): - Details: --- Muscular - Strain During (0-10): 2 - Tightness Pre (0-10): 1 - Tightness During (0-10): 2 - Tightness Post (0-10): 2 - Area: Calf - Side: Left --- Tissues (bones, tendons, ligaments) - Pain Pre (0-10): 0 - Pain During (0-10): 0 - Pain Post (0-10): 1 - Area: Shin - Side: Right --- Mechanics - Stride changes: None - Downhill tolerance: Not tested --- Health - Overall readiness (0-10): 6 - Sleep quality last night (0-10): 3 - Accumulated fatigue (0-10): 0 --- Psychology - Motivation before: Medium - Discipline (rules): Followed - Urge to push beyond plan: No*","1.00024497509003","11.043999671936","","95","","125","142","","","0.575214175352002","32.87","2","49","9","0","0","","","","","","4","56","0","0","0","0","","","","","1","5"
"45-60min Pain-free Aerobic","Bike","45-60 min max - low impact aerobic for 7 days.","1","","2026-02-12","""Zero sharp pain during aerobic work"" ""No increase in pain immediately after"" ""No worsening the following morning"" ""Ability to walk normally without guarding"" ""Pain level ?/10, both sides, one side improving? both sides?"" ^^ answer these!","","","",""," *12/02/2026 Peter Oehlinger: --- Execution - Compliance: Skipped - Reason for deviation (if modified/aborted): Fatigue - Details: Poor sleep for two consecutive days --- Muscular - Strain During (0-10): - Tightness Pre (0-10): 6 - Tightness During (0-10): - Tightness Post (0-10): - Area: Calf - Side: Left --- Tissues (bones, tendons, ligaments) - Pain Pre (0-10): - Pain During (0-10): - Pain Post (0-10): - Area: - Side: --- Mechanics - Stride changes: None - Downhill tolerance: Not tested --- Health - Overall readiness (0-10): - Sleep quality last night (0-10): - Accumulated fatigue (0-10): --- Psychology - Motivation before: - Discipline (rules): Followed - Urge to push beyond plan: No*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Stairmaster","Walk","Stairmaster morning session. Only if it is pain-free from the get go. 15min @60spm 15min @70spm 15min @80spm (usually this is low Zone 1) This is not training but testing. No training for the next eight hours afterwards to see how your body responds.","0.75","","2026-02-12","","0","","",""," *12/02/2026 Peter Oehlinger: --- Execution - Compliance: As planned - Reason for deviation (if modified/aborted): - Details: --- Muscular - Strain During (0-10): 2 - Tightness Pre (0-10): 3 - Tightness During (0-10): 2 - Tightness Post (0-10): 0 - Area: Calf; Knee - Side: Both --- Tissues (bones, tendons, ligaments) - Pain Pre (0-10): 2 - Pain During (0-10): 0 - Pain Post (0-10): 0 - Area: Calf; Shin - Side: Both --- Mechanics - Stride changes: None - Downhill tolerance: Not tested --- Health - Overall readiness (0-10): 4 - Sleep quality last night (0-10): 3 - Accumulated fatigue (0-10): 0 --- Psychology - Motivation before: High - Discipline (rules): Followed - Urge to push beyond plan: No*","0.749757468700409","0","","60","","116","141","","","0.599550490105191","29.64","13","0","0","0","","","","","","","","","","","","","","","","","1","5"
